quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
133	1.0	27	27	5/4	5/4	3/2	1	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
134	3.0	28	28	0	0	3/2	1	1	i					i	i								m	0, -3, 1		0	0
137	3.0	28	28	3/4	3/4	3/2	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
140	3.0	29	29	0	0	3/2	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
143	2.0	29	29	3/4	3/4	3/2	1	1	V(4)/iv					V(4)/iv	V			4	iv				M	0, -1, 1		0	0
145	1.0	29	29	5/4	5/4	3/2	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
146	3.0	30	30	0	0	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
149	2.0	30	30	3/4	3/4	3/2	1	1	II					II	II								M	2, 6, 3		2	2
151	1.0	30	30	5/4	5/4	3/2	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
152	2.0	31	31	0	0	3/2	1	1	i					i	i								m	0, -3, 1		0	0
154	1.0	31	31	1/2	1/2	3/2	1	1	viio6/VII					viio6/VII	vii	o	6		VII				o	0, -3, 3		3	0
155	3.0	31	31	3/4	3/4	3/2	1	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
158	3.0	32	32	0	0	3/2	1	1	III					III	III								M	-3, 1, -2		-3	-3
161	3.0	32	32	3/4	3/4	3/2	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
164	3.0	33	33	0	0	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
167	2.0	33	33	3/4	3/4	3/2	1	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
169	1.0	33	33	5/4	5/4	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
170	2.0	34	34	0	0	8/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
172	2.0	34	34	1/2	1/2	8/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
174	1.0	34	34	1	1	8/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
175	1.0	34	34	5/4	5/4	8/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
176	1.0	34	34	3/2	3/2	8/4	1	1	i(4)					i(4)	i			4					m	0, -1, 1		0	0
177	1.0	34	34	7/4	7/4	8/4	1	1	i					i	i								m	0, -3, 1		0	0
178	1.0	35	35	0	0	8/4	1	1	V[III6				V	III6	III		6						M	1, -2, -3		-3	1
179	1.0	35	35	1/4	1/4	8/4	1	1	VII64					VII64	VII		64						M	-1, -2, 2		-2	-1
180	1.0	35	35	1/2	1/2	8/4	1	1	#ii6					#ii6	#ii		6						m	6, 10, 9		9	6
181	2.0	35	35	3/4	3/4	8/4	1	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
183	3.0	35	35	5/4	5/4	8/4	1	1	V]					V	V					]			M	1, 5, 2		1	1
186	3.0	36	36	0	0	8/4	1	1	I}					I	I							}	M	0, 4, 1		0	0
188	0.0	36	36	1/2	1/2	8/4	1	1	{													{					
189	1.0	36	36	3/4	3/4	8/4	1	1	#vi6					#vi6	#vi		6						m	0, 4, 3		3	0
190	1.0	36	36	1	1	8/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
191	0.5	36	36	5/4	5/4	8/4	1	1	i6					i6	i		6						m	-3, 1, 0		0	-3
383/2	1.0	36	36	11/8	11/8	8/4	1	1	II					II	II								M	2, 6, 3		2	2
385/2	0.5	36	36	13/8	13/8	8/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
193	1.0	36	36	7/4	7/4	8/4	1	1	II6					II6	II		6						M	6, 3, 2		2	6
194	1.0	37	37	0	0	4/4	1	1	III					III	III								M	-3, 1, -2		-3	-3
195	1.0	37	37	1/4	1/4	4/4	1	1	III6					III6	III		6						M	1, -2, -3		-3	1
196	1.0	37	37	1/2	1/2	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
197	1.0	37	37	3/4	3/4	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
198	1.0	38	38	0	0	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
199	1.0	38	38	1/4	1/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
200	1.0	38	38	1/2	1/2	4/4	1	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
201	1.0	38	38	3/4	3/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
202	1.0	39	39	0	0	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
203	0.5	39	39	1/4	1/4	4/4	1	1	i					i	i								m	0, -3, 1		0	0
407/2	0.5	39	39	3/8	3/8	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
204	0.5	39	39	1/2	1/2	4/4	1	1	II					II	II								M	2, 6, 3		2	2
409/2	0.5	39	39	5/8	5/8	4/4	1	1	i					i	i								m	0, -3, 1		0	0
205	1.0	39	39	3/4	3/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
206	1.0	40	40	0	0	4/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
207	1.0	40	40	1/4	1/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
208	1.0	40	40	1/2	1/2	4/4	1	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
209	1.0	40	40	3/4	3/4	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
210	3.0	41	41	0	0	4/4	1	1	iv}{					iv	iv							}{	m	-1, -4, 0		-1	-1
213	1.0	41	41	3/4	3/4	4/4	1	1	i6					i6	i		6						m	-3, 1, 0		0	-3
214	1.0	42	42	0	0	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
215	1.0	42	42	1/4	1/4	4/4	1	1	viio6/VII					viio6/VII	vii	o	6		VII				o	0, -3, 3		3	0
216	1.0	42	42	1/2	1/2	4/4	1	1	VII					VII	VII								M	-2, 2, -1		-2	-2
217	1.0	42	42	3/4	3/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
218	1.0	43	43	0	0	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
219	1.0	43	43	1/4	1/4	4/4	1	1	i					i	i								m	0, -3, 1		0	0
220	2.0	43	43	1/2	1/2	4/4	1	1	i(64)					i(64)	i			64					m	0, -1, -4		0	0
222	2.0	44	44	0	0	4/4	1	1	I					I	I								M	0, 4, 1		0	0
224	1.0	44	44	1/2	1/2	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
225	1.0	44	44	3/4	3/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
226	1.0	45	45	0	0	4/4	1	1	#iio6					#iio6	#ii	o	6						o	6, 3, 9		9	6
227	1.0	45	45	1/4	1/4	4/4	1	1	i					i	i								m	0, -3, 1		0	0
228	1.0	45	45	1/2	1/2	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
229	1.0	45	45	3/4	3/4	4/4	1	1	III6					III6	III		6						M	1, -2, -3		-3	1
230	1.0	46	46	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
231	1.0	46	46	1/4	1/4	4/4	1	1	V6/III					V6/III	V		6		III				M	2, -1, -2		-2	2
232	1.0	46	46	1/2	1/2	4/4	1	1	III					III	III								M	-3, 1, -2		-3	-3
233	1.0	46	46	3/4	3/4	4/4	1	1	V(64)/VI					V(64)/VI	V			64	VI				M	-3, -4, 0		-3	-3
234	0.5	47	47	0	0	4/4	1	1	V(4)/VI					V(4)/VI	V			4	VI				M	-3, -4, -2		-3	-3
469/2	1.5	47	47	1/8	1/8	4/4	1	1	V/VI					V/VI	V				VI				M	-3, 1, -2		-3	-3
236	2.0	47	47	1/2	1/2	4/4	1	1	VI}					VI	VI							}	M	-4, 0, -3		-4	-4
237	0.0	47	47	3/4	3/4	4/4	1	1	{													{					
238	2.0	48	48	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
240	0.5	48	48	1/2	1/2	4/4	1	1	iv(13)					iv(13)	iv			13					m	-1, -4, 0	2	-1	-1
481/2	1.5	48	48	5/8	5/8	4/4	1	1	iv(64)					iv(64)	iv			64					m	-1, -2, 2		-1	-1
242	1.0	49	49	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
243	1.0	49	49	1/4	1/4	4/4	1	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
244	1.0	49	49	1/2	1/2	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
245	1.0	49	49	3/4	3/4	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
246	1.0	50	50	0	0	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
247	1.0	50	50	1/4	1/4	4/4	1	1	i					i	i								m	0, -3, 1		0	0
248	1.0	50	50	1/2	1/2	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
249	0.5	50	50	3/4	3/4	4/4	1	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
499/2	0.5	50	50	7/8	7/8	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
250	0.5	51	51	0	0	4/4	1	1	i(64)					i(64)	i			64					m	0, -1, -4		0	0
501/2	1.0	51	51	1/8	1/8	4/4	1	1	i					i	i								m	0, -3, 1		0	0
503/2	0.5	51	51	3/8	3/8	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
252	0.5	51	51	1/2	1/2	4/4	1	1	vii(9)					vii(9)	vii			9					m	-2, -5, -1	0	-2	-2
505/2	0.5	51	51	5/8	5/8	4/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
253	0.5	51	51	3/4	3/4	4/4	1	1	vo6					vo6	v	o	6						o	-2, -5, 1		1	-2
507/2	0.5	51	51	7/8	7/8	4/4	1	1	III6					III6	III		6						M	1, -2, -3		-3	1
254	0.5	52	52	0	0	4/4	1	1	iv6(112)					iv6(112)	iv		6	112					m	-4, 0, 1	-2	-1	-4
509/2	1.0	52	52	1/8	1/8	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
511/2	0.5	52	52	3/8	3/8	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
256	1.0	52	52	1/2	1/2	4/4	1	1	V(4)/iv					V(4)/iv	V			4	iv				M	0, -1, 1		0	0
257	1.0	52	52	3/4	3/4	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
258	0.5	53	53	0	0	4/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
517/2	1.5	53	53	1/8	1/8	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
260	0.5	53	53	1/2	1/2	4/4	1	1	i(64)					i(64)	i			64					m	0, -1, -4		0	0
521/2	1.5	53	53	5/8	5/8	4/4	1	1	i					i	i								m	0, -3, 1		0	0
262	2.0	54	54	0	0	4/4	1	1	i(64)					i(64)	i			64					m	0, -1, -4		0	0
264	2.0	54	54	1/2	1/2	4/4	1	1	I					I	I								M	0, 4, 1		0	0
266	4.0	55	55	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
270	1.5	56	56	0	0	4/4	1	1	II					II	II								M	2, 6, 3		2	2
543/2	0.5	56	56	3/8	3/8	4/4	1	1	V64/VII					V64/VII	V		64		VII				M	0, -1, 3		-1	0
272	1.5	56	56	1/2	1/2	4/4	1	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
547/2	0.5	56	56	7/8	7/8	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
274	1.0	57	57	0	0	4/4	1	1	I					I	I								M	0, 4, 1		0	0
275	1.0	57	57	1/4	1/4	4/4	1	1	I(64)					I(64)	I			64					M	0, -1, -4		0	0
276	0.5	57	57	1/2	1/2	4/4	1	1	I					I	I								M	0, 4, 1		0	0
553/2	0.5	57	57	5/8	5/8	4/4	1	1	I(64)					I(64)	I			64					M	0, -1, -4		0	0
277	5.0	57	57	3/4	3/4	4/4	1	1	I}					I	I							}	M	0, 4, 1		0	0
