mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor
11	11	80	80	2	0	0	4/2	1	1	IV6(9)	e.phrygian	i		IV6(9)	IV		6	9				M	1	1
11	11	82	82	2	1/2	1/2	4/2	1	1	iv6	e.phrygian	i		iv6	iv		6					m	1	1
11	11	84	84	2	1	1	4/2	1	1	III6	e.phrygian	i		III6	III		6					M	1	1
11	11	86	86	2	3/2	3/2	4/2	1	1	iii6	e.phrygian	i		iii6	iii		6					m	1	1
12	12	88	88	2	0	0	4/2	1	1	ii/III	e.phrygian	i		ii/III	ii				III			m	1	1
12	12	90	90	2	1/2	1/2	4/2	1	1	viio6/III	e.phrygian	i		viio6/III	vii	o	6		III			o	1	1
12	12	92	92	2	1	1	4/2	1	1	III	e.phrygian	i		III	III							M	1	1
12	12	94	94	2	3/2	3/2	4/2	1	1	iii	e.phrygian	i		iii	iii							m	1	1
13	13	96	96	2	0	0	4/2	1	1	V/iii	e.phrygian	i		V/iii	V				iii			M	1	1
13	13	98	98	2	1/2	1/2	4/2	1	1	viio6/VI	e.phrygian	i		viio6/VI	vii	o	6		VI			o	1	1
13	13	100	100	2	1	1	4/2	1	1	VI	e.phrygian	i		VI	VI							M	1	1
13	13	102	102	2	3/2	3/2	4/2	1	1	iio6/iii	e.phrygian	i		iio6/iii	ii	o	6		iii			o	1	1
14	14	104	104	2	0	0	4/2	1	1	V2/III	e.phrygian	i		V2/III	V		2		III			Mm7	1	1
14	14	106	106	2	1/2	1/2	4/2	1	1	iii6	e.phrygian	i		iii6	iii		6					m	1	1
14	14	108	108	2	1	1	4/2	1	1	#viio6(2)/iii	e.phrygian	i		#viio6(2)/iii	#vii	o	6	2	iii			o	1	1
14	14	110	110	2	3/2	3/2	4/2	1	1	#viio6/iii	e.phrygian	i		#viio6/iii	#vii	o	6		iii			o	1	1
15	15	112	112	4	0	0	4/2	1	1	iii}{	e.phrygian	i		iii	iii						}{	m	1	1
15	15	116	116	4	1	1	4/2	1	1	vii	e.phrygian	i		vii	vii							m	1	1
16	16	120	120	2	0	0	4/2	1	1	IV6	e.phrygian	i		IV6	IV		6					M	1	1
16	16	122	122	2	1/2	1/2	4/2	1	1	iv6	e.phrygian	i		iv6	iv		6					m	1	1
16	16	124	124	2	1	1	4/2	1	1	III6(2)	e.phrygian	i		III6(2)	III		6	2				M	1	1
16	16	126	126	2	3/2	3/2	4/2	1	1	iii6	e.phrygian	i		iii6	iii		6					m	1	1
17	17	128	128	2	0	0	4/2	1	1	#viio6/iii	e.phrygian	i		#viio6/iii	#vii	o	6		iii			o	1	1
17	17	130	130	2	1/2	1/2	4/2	1	1	vii	e.phrygian	i		vii	vii							m	1	1
17	17	132	132	2	1	1	4/2	1	1	VI6	e.phrygian	i		VI6	VI		6					M	1	1
17	17	134	134	2	3/2	3/2	4/2	1	1	vi6	e.phrygian	i		vi6	vi		6					m	1	1
18	18	136	136	2	0	0	4/2	1	1	#viio6/vi	e.phrygian	i		#viio6/vi	#vii	o	6		vi			o	1	1
18	18	138	138	2	1/2	1/2	4/2	1	1	iio/vii	e.phrygian	i		iio/vii	ii	o			vii			o	1	1
18	18	140	140	4	1	1	4/2	1	1	vii	e.phrygian	i		vii	vii							m	1	1
19	19	144	144	2	0	0	4/2	1	1	VII6	e.phrygian	i		VII6	VII		6					M	1	1
19	19	146	146	2	1/2	1/2	4/2	1	1	vii6	e.phrygian	i		vii6	vii		6					m	1	1
19	19	148	148	2	1	1	4/2	1	1	VI6(762)	e.phrygian	i		VI6(762)	VI		6	762				M	1	1
19	19	150	150	2	3/2	3/2	4/2	1	1	vi6	e.phrygian	i		vi6	vi		6					m	1	1
20	20	152	152	2	0	0	4/2	1	1	viio6(2)/VI	e.phrygian	i		viio6(2)/VI	vii	o	6	2	VI			o	1	1
20	20	154	154	2	1/2	1/2	4/2	1	1	viio6/VI	e.phrygian	i		viio6/VI	vii	o	6		VI			o	1	1
20	20	156	156	2	1	1	4/2	1	1	VI(4)}{	e.phrygian	i		VI(4)	VI			4			}{	M	1	1
20	20	158	158	2	3/2	3/2	4/2	1	1	VI	e.phrygian	i		VI	VI							M	1	1
21	21	160	160	2	0	0	4/2	1	1	vii6(2)	e.phrygian	i		vii6(2)	vii		6	2				m	1	1
21	21	162	162	2	1/2	1/2	4/2	1	1	VII6	e.phrygian	i		VII6	VII		6					M	1	1
21	21	164	164	2	1	1	4/2	1	1	IV6	e.phrygian	i		IV6	IV		6					M	1	1
21	21	166	166	2	3/2	3/2	4/2	1	1	iv6	e.phrygian	i		iv6	iv		6					m	1	1
22	22	168	168	2	0	0	4/2	1	1	III6	e.phrygian	i		III6	III		6					M	1	1
22	22	170	170	2	1/2	1/2	4/2	1	1	iii6	e.phrygian	i		iii6	iii		6					m	1	1
22	22	172	172	2	1	1	4/2	1	1	V7/vii	e.phrygian	i		V7/vii	V		7		vii			Mm7	1	1
22	22	174	174	2	3/2	3/2	4/2	1	1	vii64	e.phrygian	i		vii64	vii		64					m	1	1
23	23	176	176	2	0	0	4/2	1	1	IV	e.phrygian	i		IV	IV							M	1	1
23	23	178	178	2	1/2	1/2	4/2	1	1	iv	e.phrygian	i		iv	iv							m	1	1
23	23	180	180	2	1	1	4/2	1	1	III6	e.phrygian	i		III6	III		6					M	1	1
23	23	182	182	2	3/2	3/2	4/2	1	1	iii6	e.phrygian	i		iii6	iii		6					m	1	1
24	24	184	184	2	0	0	4/2	1	1	II6	e.phrygian	i		II6	II		6					M	1	1
24	24	186	186	2	1/2	1/2	4/2	1	1	iv	e.phrygian	i		iv	iv							m	1	1
24	24	188	188	2	1	1	4/2	1	1	III	e.phrygian	i		III	III							M	1	1
24	24	190	190	2	3/2	3/2	4/2	1	1	i6	e.phrygian	i		i6	i		6					m	1	1
25	25	192	192	2	0	0	4/2	1	1	V2/vii	e.phrygian	i		V2/vii	V		2		vii			Mm7	1	1
25	25	194	194	2	1/2	1/2	4/2	1	1	vii6	e.phrygian	i		vii6	vii		6					m	1	1
25	25	196	196	2	1	1	4/2	1	1	IV64	e.phrygian	i		IV64	IV		64					M	1	1
25	25	198	198	2	3/2	3/2	4/2	1	1	VI6	e.phrygian	i		VI6	VI		6					M	1	1
26	26	200	200	2	0	0	4/2	1	1	III	e.phrygian	i		III	III							M	1	1
26	26	202	202	2	1/2	1/2	4/2	1	1	iii	e.phrygian	i		iii	iii							m	1	1
26	26	204	204	2	1	1	4/2	1	1	V65/vii	e.phrygian	i		V65/vii	V		65		vii			Mm7	1	1
26	26	206	206	2	3/2	3/2	4/2	1	1	vii	e.phrygian	i		vii	vii							m	1	1
27	27	208	208	2	0	0	4/2	1	1	V65/VI	e.phrygian	i		V65/VI	V		65		VI			Mm7	1	1
27	27	210	210	2	1/2	1/2	4/2	1	1	VI	e.phrygian	i		VI	VI							M	1	1
27	27	212	212	2	1	1	4/2	1	1	vii65(2)	e.phrygian	i		vii65(2)	vii		65	2				mm7	1	1
27	27	214	214	2	3/2	3/2	4/2	1	1	vii6	e.phrygian	i		vii6	vii		6					m	1	1
28	28	216	216	2	0	0	4/2	1	1	iv64	e.phrygian	i		iv64	iv		64					m	1	1
28	28	218	218	2	1/2	1/2	4/2	1	1	viio6/VII	e.phrygian	i		viio6/VII	vii	o	6		VII			o	1	1
28	28	220	220	2	1	1	4/2	1	1	VII(#72)	e.phrygian	i		VII(#72)	VII			#72				M	1	1
28	28	222	222	2	3/2	3/2	4/2	1	1	v6	e.phrygian	i		v6	v		6					m	1	1
29	29	224	224	2	0	0	4/2	1	1	i2	e.phrygian	i		i2	i		2					mm7	1	1
29	29	226	226	2	1/2	1/2	4/2	1	1	iv6	e.phrygian	i		iv6	iv		6					m	1	1
29	29	228	228	2	1	1	4/2	1	1	V2/V/VI	e.phrygian	i		V2/V/VI	V		2		V/VI			Mm7	1	1
29	29	230	230	2	3/2	3/2	4/2	1	1	V6/VI	e.phrygian	i		V6/VI	V		6		VI			M	1	1
30	30	232	232	2	0	0	4/2	1	1	VI(9)	e.phrygian	i		VI(9)	VI			9				M	1	1
30	30	234	234	2	1/2	1/2	4/2	1	1	vi	e.phrygian	i		vi	vi							m	1	1
30	30	236	236	2	1	1	4/2	1	1	V7/bV	e.phrygian	i		V7/bV	V		7		bV			Mm7	1	1
30	30	238	238	2	3/2	3/2	4/2	1	1	V/bV	e.phrygian	i		V/bV	V				bV			M	1	1
31	31	240	240	2	0	0	4/2	1	1	V2/VI	e.phrygian	i		V2/VI	V		2		VI			Mm7	1	1
31	31	242	242	2	1/2	1/2	4/2	1	1	viio6/VII	e.phrygian	i		viio6/VII	vii	o	6		VII			o	1	1
31	31	244	244	2	1	1	4/2	1	1	VII(64)	e.phrygian	i		VII(64)	VII			64				M	1	1
31	31	246	246	2	3/2	3/2	4/2	1	1	VII	e.phrygian	i		VII	VII							M	1	1
32	32	248	248	1	0	0	4/2	1	1	#viio6/iv	e.phrygian	i		#viio6/iv	#vii	o	6		iv			o	1	1
32	32	249	249	2	1/4	1/4	4/2	1	1	#viio6(2)/iv	e.phrygian	i		#viio6(2)/iv	#vii	o	6	2	iv			o	1	1
32	32	251	251	1	3/4	3/4	4/2	1	1	#viio6/iv	e.phrygian	i		#viio6/iv	#vii	o	6		iv			o	1	1
32	32	252	252	2	1	1	4/2	1	1	IV(#64)}{	e.phrygian	i		IV(#64)	IV			#64			}{	M	1	1
32	32	254	254	2	3/2	3/2	4/2	1	1	IV	e.phrygian	i		IV	IV							M	1	1
33	33	256	256	2	0	0	4/2	1	1	#ii6	e.phrygian	i		#ii6	#ii		6					m	1	1
33	33	258	258	2	1/2	1/2	4/2	1	1	II6	e.phrygian	i		II6	II		6					M	1	1
33	33	260	260	2	1	1	4/2	1	1	IV6	e.phrygian	i		IV6	IV		6					M	1	1
33	33	262	262	2	3/2	3/2	4/2	1	1	iv6	e.phrygian	i		iv6	iv		6					m	1	1
34	34	264	264	2	0	0	4/2	1	1	V6/iv	e.phrygian	i		V6/iv	V		6		iv			M	1	1
34	34	266	266	2	1/2	1/2	4/2	1	1	V65/iv	e.phrygian	i		V65/iv	V		65		iv			Mm7	1	1
34	34	268	268	2	1	1	4/2	1	1	IV	e.phrygian	i		IV	IV							M	1	1
34	34	270	270	2	3/2	3/2	4/2	1	1	iv	e.phrygian	i		iv	iv							m	1	1
35	35	272	272	2	0	0	4/2	1	1	I(64)	e.phrygian	i		I(64)	I			64				M	1	1
35	35	274	274	2	1/2	1/2	4/2	1	1	I	e.phrygian	i		I	I							M	1	1
35	35	276	276	2	1	1	4/2	1	1	VII6(13)	e.phrygian	i		VII6(13)	VII		6	13				M	1	1
35	35	278	278	2	3/2	3/2	4/2	1	1	vii6	e.phrygian	i		vii6	vii		6					m	1	1
36	36	280	280	2	0	0	4/2	1	1	V6/VII	e.phrygian	i		V6/VII	V		6		VII			M	1	1
36	36	282	282	2	1/2	1/2	4/2	1	1	V65/VII	e.phrygian	i		V65/VII	V		65		VII			Mm7	1	1
36	36	284	284	2	1	1	4/2	1	1	VII	e.phrygian	i		VII	VII							M	1	1
36	36	286	286	2	3/2	3/2	4/2	1	1	vii	e.phrygian	i		vii	vii							m	1	1
37	37	288	288	2	0	0	4/2	1	1	IV6	e.phrygian	i		IV6	IV		6					M	1	1
37	37	290	290	2	1/2	1/2	4/2	1	1	iv6	e.phrygian	i		iv6	iv		6					m	1	1
37	37	292	292	2	1	1	4/2	1	1	VII(9)	e.phrygian	i		VII(9)	VII			9				M	1	1
37	37	294	294	2	3/2	3/2	4/2	1	1	vii	e.phrygian	i		vii	vii							m	1	1
38	38	296	296	2	0	0	4/2	1	1	IV6	e.phrygian	i		IV6	IV		6					M	1	1
38	38	298	298	2	1/2	1/2	4/2	1	1	iv6	e.phrygian	i		iv6	iv		6					m	1	1
38	38	300	300	2	1	1	4/2	1	1	I	e.phrygian	i		I	I							M	1	1
38	38	302	302	2	3/2	3/2	4/2	1	1	i	e.phrygian	i		i	i							m	1	1
39	39	304	304	2	0	0	4/2	1	1	IV6	e.phrygian	i		IV6	IV		6					M	1	1
39	39	306	306	2	1/2	1/2	4/2	1	1	iv6	e.phrygian	i		iv6	iv		6					m	1	1
39	39	308	308	2	1	1	4/2	1	1	#viio6/iv	e.phrygian	i		#viio6/iv	#vii	o	6		iv			o	1	1
39	39	310	310	2	3/2	3/2	4/2	1	1	III6	e.phrygian	i		III6	III		6					M	1	1
40	40	312	312	2	0	0	4/2	1	1	VII6	e.phrygian	i		VII6	VII		6					M	1	1
40	40	314	314	2	1/2	1/2	4/2	1	1	IV	e.phrygian	i		IV	IV							M	1	1
40	40	316	316	2	1	1	4/2	1	1	III	e.phrygian	i		III	III							M	1	1
40	40	318	318	2	3/2	3/2	4/2	1	1	I6	e.phrygian	i		I6	I		6					M	1	1
41	41	320	320	2	0	0	4/2	1	1	IV	e.phrygian	i		IV	IV							M	1	1
41	41	322	322	2	1/2	1/2	4/2	1	1	iv	e.phrygian	i		iv	iv							m	1	1
41	41	324	324	1	1	1	4/2	1	1	V/iv	e.phrygian	i		V/iv	V				iv			M	1	1
41	41	325	325	5	5/4	5/4	4/2	1	1	V7/iv	e.phrygian	i		V7/iv	V		7		iv			Mm7	1	1
42	42	330	330	2	1/2	1/2	4/2	1	1	V(64)/iv	e.phrygian	i		V(64)/iv	V			64	iv			M	1	1
42	42	332	332	2	1	1	4/2	1	1	V(4)/iv	e.phrygian	i		V(4)/iv	V			4	iv			M	1	1
42	42	334	334	2	3/2	3/2	4/2	1	1	V/iv	e.phrygian	i		V/iv	V				iv			M	1	1
43	43	336	336	2	0	0	4/2	1	1	V(#6)/IV	e.phrygian	i		V(#6)/IV	V			#6	IV			M	1	1
43	43	338	338	2	1/2	1/2	4/2	1	1	V(64)/iv	e.phrygian	i		V(64)/iv	V			64	iv			M	1	1
43	43	340	340	4	1	1	4/2	1	1	V/iv	e.phrygian	i		V/iv	V				iv			M	1	1
44	44	344	344	2	0	0	4/2	1	1	v(#13)/IV	e.phrygian	i		v(#13)/IV	v			#13	IV			m	1	1
44	44	346	346	2	1/2	1/2	4/2	1	1	V(64)/iv	e.phrygian	i		V(64)/iv	V			64	iv			M	1	1
44	44	348	348	2	1	1	4/2	1	1	V(4)/iv	e.phrygian	i		V(4)/iv	V			4	iv			M	1	1
44	44	350	350	2	3/2	3/2	4/2	1	1	V/iv	e.phrygian	i		V/iv	V				iv			M	1	1
45	45	352	352	2	0	0	4/2	1	1	IV(#6)}	e.phrygian	i		IV(#6)	IV			#6			}	M	1	1
45	45	354	354	2	1/2	1/2	4/2	1	1	IV(6){	e.phrygian	i		IV(6)	IV			6			{	M	1	1
45	45	356	356	2	1	1	4/2	1	1	IV	e.phrygian	i		IV	IV							M	1	1
45	45	358	358	2	3/2	3/2	4/2	1	1	V7/VII	e.phrygian	i		V7/VII	V		7		VII			Mm7	1	1
46	46	360	360	2	0	0	4/2	1	1	VII64	e.phrygian	i		VII64	VII		64					M	1	1
46	46	362	362	2	1/2	1/2	4/2	1	1	vii64	e.phrygian	i		vii64	vii		64					m	1	1
46	46	364	364	2	1	1	4/2	1	1	IV(4)	e.phrygian	i		IV(4)	IV			4				M	1	1
46	46	366	366	2	3/2	3/2	4/2	1	1	IV	e.phrygian	i		IV	IV							M	1	1
47	47	368	368	2	0	0	4/2	1	1	iv	e.phrygian	i		iv	iv							m	1	1
47	47	370	370	4	1/2	1/2	4/2	1	1	i	e.phrygian	i		i	i							m	1	1
47	47	374	374	2	3/2	3/2	4/2	1	1	vo6	e.phrygian	i		vo6	v	o	6					o	1	1
48	48	376	376	2	0	0	4/2	1	1	IV6(2)	e.phrygian	i		IV6(2)	IV		6	2				M	1	1
48	48	378	378	2	1/2	1/2	4/2	1	1	iv6	e.phrygian	i		iv6	iv		6					m	1	1
48	48	380	380	2	1	1	4/2	1	1	V6/iv	e.phrygian	i		V6/iv	V		6		iv			M	1	1
48	48	382	382	2	3/2	3/2	4/2	1	1	#viio6/iv	e.phrygian	i		#viio6/iv	#vii	o	6		iv			o	1	1
49	49	384	384	2	0	0	4/2	1	1	IV	e.phrygian	i		IV	IV							M	1	1
49	49	386	386	2	1/2	1/2	4/2	1	1	iv	e.phrygian	i		iv	iv							m	1	1
49	49	388	388	2	1	1	4/2	1	1	VII(9)	e.phrygian	i		VII(9)	VII			9				M	1	1
49	49	390	390	2	3/2	3/2	4/2	1	1	v6	e.phrygian	i		v6	v		6					m	1	1
50	50	392	392	2	0	0	4/2	1	1	I(#13)}{	e.phrygian	i		I(#13)	I			#13			}{	M	1	1
50	50	394	394	2	1/2	1/2	4/2	1	1	I(64)	e.phrygian	i		I(64)	I			64				M	1	1
50	50	396	396	2	1	1	4/2	1	1	I(4)	e.phrygian	i		I(4)	I			4				M	1	1
50	50	398	398	2	3/2	3/2	4/2	1	1	I	e.phrygian	i		I	I							M	1	1
51	51	400	400	2	0	0	4/2	1	1	I(#6)	e.phrygian	i		I(#6)	I			#6				M	1	1
51	51	402	402	2	1/2	1/2	4/2	1	1	I(64)	e.phrygian	i		I(64)	I			64				M	1	1
51	51	404	404	4	1	1	4/2	1	1	I	e.phrygian	i		I	I							M	1	1
52	52	408	408	2	0	0	4/2	1	1	I(#13)	e.phrygian	i		I(#13)	I			#13				M	1	1
52	52	410	410	2	1/2	1/2	4/2	1	1	I(64)	e.phrygian	i		I(64)	I			64				M	1	1
52	52	412	412	2	1	1	4/2	1	1	I(4)	e.phrygian	i		I(4)	I			4				M	1	1
52	52	414	414	10	3/2	3/2	4/2	1	1	I}	e.phrygian	i		I	I						}	M	1	1
