quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
85	3.0	16	16	1/4	1/4	4/2	2	1	V/III]					V/III	V				III	]			M	-2, 2, -1		-2	-2
88	2.0	16	16	1	1	4/2	2	1	III}					III	III							}	M	-3, 1, -2		-3	-3
90	2.0	16	16	3/2	3/2	4/2	2	1	i6{					i6	i		6					{	m	-3, 1, 0		0	-3
92	2.0	17	17	0	0	4/4	2	1	V2/VII					V2/VII	V		2		VII				Mm7	-3, -1, 3, 0		-1	-3
94	2.0	17	17	1/2	1/2	4/4	2	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
96	1.0	18	18	0	0	4/4	2	1	i[V7/iv				i	V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
97	2.0	18	18	1/4	1/4	4/4	2	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
99	1.0	18	18	3/4	3/4	4/4	2	1	#iio6					#iio6	#ii	o	6						o	6, 3, 9		9	6
100	1.0	19	19	0	0	4/4	2	1	I					I	I								M	0, 4, 1		0	0
101	1.0	19	19	1/4	1/4	4/4	2	1	V(11)/iv					V(11)/iv	V			11	iv				M	0, 4, 1	-1	0	0
102	1.0	19	19	1/2	1/2	4/4	2	1	V(4)/iv]					V(4)/iv	V			4	iv	]			M	0, -1, 1		0	0
103	1.0	19	19	3/4	3/4	4/4	2	1	V7/III					V7/III	V		7		III				Mm7	-2, 2, -1, -4		-2	-2
104	1.0	20	20	0	0	4/4	2	1	V2/IV					V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2
105	1.0	20	20	1/4	1/4	4/4	2	1	IV6					IV6	IV		6						M	3, 0, -1		-1	3
106	1.0	20	20	1/2	1/2	4/4	2	1	#ii64					#ii64	#ii		64						m	10, 9, 6		9	10
107	1.0	20	20	3/4	3/4	4/4	2	1	viio6/IV					viio6/IV	vii	o	6		IV				o	1, -2, 4		4	1
108	1.0	21	21	0	0	4/4	2	1	iv[IV				iv	IV	IV								M	-1, 3, 0		-1	-1
109	0.25	21	21	1/4	1/4	4/4	2	1	i6					i6	i		6						m	-3, 1, 0		0	-3
437/4	0.75	21	21	5/16	5/16	4/4	2	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
110	1.0	21	21	1/2	1/2	4/4	2	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
111	1.0	21	21	3/4	3/4	4/4	2	1	vo6					vo6	v	o	6						o	-2, -5, 1		1	-2
112	1.0	22	22	0	0	4/4	2	1	V7/vii					V7/vii	V		7		vii				Mm7	-1, 3, 0, -3		-1	-1
113	1.0	22	22	1/4	1/4	4/4	2	1	V/vii					V/vii	V				vii				M	-1, 3, 0		-1	-1
114	0.5	22	22	1/2	1/2	4/4	2	1	IV(6)					IV(6)	IV			6					M	-1, 3, 2		-1	-1
229/2	0.5	22	22	5/8	5/8	4/4	2	1	IV(64)					IV(64)	IV			64					M	-1, -2, 2		-1	-1
115	1.0	22	22	3/4	3/4	4/4	2	1	i6					i6	i		6						m	-3, 1, 0		0	-3
116	1.0	23	23	0	0	4/4	2	1	V7/vii					V7/vii	V		7		vii				Mm7	-1, 3, 0, -3		-1	-1
117	1.0	23	23	1/4	1/4	4/4	2	1	iv(64)					iv(64)	iv			64					m	-1, -2, 2		-1	-1
118	1.0	23	23	1/2	1/2	4/4	2	1	iv(4)					iv(4)	iv			4					m	-1, -2, 0		-1	-1
119	1.0	23	23	3/4	3/4	4/4	2	1	iv					iv	iv								m	-1, -4, 0		-1	-1
120	4.0	24	24	0	0	4/4	2	1	I}					I	I							}	M	0, 4, 1		0	0
